Framework,1,5,10,15,20,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
activeweb,10715,5735,2602,1756,1305,Plt,Jav,Act,Res,Lin,My,Lin,Raw,Rea,0
aspnet-stripped-raw,— Did not complete —,,,,,,Ful,C#,Net,IIS,Win,Mo,Lin,Raw,Str
aspnet-stripped-raw,2808,4282,3290,2339,1793,Ful,C#,Net,IIS,Win,Pg,Lin,Raw,Str,0
aspnet-stripped-raw,8008,3743,2288,1748,1452,Ful,C#,Net,IIS,Win,My,Lin,Raw,Str,0
aspnet-mysql-raw,7872,3739,2274,1754,1443,Ful,C#,Net,IIS,Win,My,Lin,Raw,Rea,0
aspnet-mvc-mono,— Did not complete —,,,,,,Ful,C#,Mon,ngx,Lin,Mo,Lin,Raw,Rea
aspnet-mysql-entityf,12826,4841,2587,1771,1303,Ful,C#,Net,IIS,Win,My,Lin,Ful,Rea,0
aspnet-mvc-mono,3339,2854,2373,2077,1967,Ful,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,0
aspnet-mvc-mono,— Did not complete —,,,,,,Ful,C#,Mon,ngx,Lin,Pg,Lin,Ful,Rea
aspnet-mvc-mono,— Did not complete —,,,,,,Ful,C#,Mon,ngx,Lin,Pg,Lin,Raw,Rea
aspnet-mongodb-raw,— Did not complete —,,,,,,Ful,C#,Net,IIS,Win,Mo,Lin,Raw,Rea
aspnet-postgresql-en,10111,3079,1581,967,788,Ful,C#,Net,IIS,Win,Pg,Lin,Ful,Rea,0
aspnet-mvc-mono,621,621,622,518,419,Ful,C#,Mon,ngx,Lin,My,Lin,Ful,Rea,0
aspnet-postgresql-ra,8158,4809,2944,2240,1737,Ful,C#,Net,IIS,Win,Pg,Lin,Raw,Rea,0
bottle-pypy,3816,1066,709,511,439,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-py3,7468,2190,1251,943,845,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-nginx-uwsgi,9865,2879,1606,1274,1073,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,0
bottle-mysql-raw,34890,9607,4508,2971,2209,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
bottle,8353,2475,1441,1117,1011,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
cpoll_cppsp-raw,27713,5583,2877,1933,1470,Plt,C++,Cpl,Non,Lin,My,Lin,Raw,Rea,0
dart,32930,6710,3347,2237,1675,Plt,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
django-postgresql,8820,3209,1780,1232,940,Ful,Py,Gun,Non,Lin,Pg,Lin,Ful,Rea,0
django-py3,7916,2735,1452,1018,770,Ful,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
django,8294,2867,1514,1070,818,Ful,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
express-mysql,54588,15668,8071,5364,3942,Mcr,JS,njs,Non,Lin,My,Lin,Ful,Rea,0
express-mongodb,23262,7063,3810,2605,1997,Mcr,JS,njs,Non,Lin,Mo,Lin,Ful,Rea,0
falcore,47207,10696,5330,3640,2684,Mcr,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
flask-nginx-uwsgi,7685,3526,2106,1498,1181,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,0
flask,18060,8249,4590,3148,2388,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
flask-pypy,3140,1312,920,745,612,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask-pypy,6,11,0,0,0,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
flask,6779,3051,1856,1331,1064,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask-py3,6333,2712,1611,1152,901,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
gemini,24630,4790,2357,1572,1182,Ful,Jav,Svt,Res,Lin,My,Lin,Mcr,Rea,0
go,47746,10572,5310,3537,2676,Plt,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
grails,28434,4295,1579,1003,814,Ful,Grv,Svt,Res,Lin,My,Lin,Ful,Rea,0
hapi,15957,6333,3574,2486,1905,Mcr,JS,njs,Non,Lin,Mo,Lin,Raw,Rea,0
hapi-mysql,28231,14081,7657,5330,3981,Mcr,JS,njs,Non,Lin,My,Lin,Raw,Rea,0
hhvm,54668,15440,7983,5373,4047,Plt,PHP,hhv,HPH,Lin,My,Lin,Raw,Rea,0
http-listener,0,0,0,0,0,Plt,C#,Net,hts,Win,Pg,Lin,Raw,Rea,0
http-listener,— Did not complete —,,,,,,Plt,C#,Net,hts,Win,Mo,Lin,Raw,Rea
http-listener,5379,2879,1844,1420,1180,Plt,C#,Net,hts,Win,My,Lin,Raw,Rea,0
