Framework,8,16,32,64,128,256,Best,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
activeweb,2853,3011,3529,3730,3759,3694,3759,Plt,Jav,Act,Res,Lin,My,Lin,Raw,Rea,0
aspnet-stripped-raw,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,Mo,Lin,Raw,Str,—
aspnet-stripped-raw,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,My,Lin,Raw,Str,—
aspnet-stripped-raw,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,Pg,Lin,Raw,Str,—
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,Pg,Lin,Ful,Rea,—
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,Pg,Lin,Raw,Rea,—
aspnet-mongodb-raw,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,Mo,Lin,Raw,Rea,—
aspnet-mysql-entityf,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,My,Lin,Ful,Rea,—
aspnet-mysql-raw,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,My,Lin,Raw,Rea,—
aspnet-postgresql-en,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,Pg,Lin,Ful,Rea,—
aspnet-postgresql-ra,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,Pg,Lin,Raw,Rea,—
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,Mo,Lin,Raw,Rea,—
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,My,Lin,Ful,Rea,—
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,—
bottle-py3,4112,7730,11417,11541,9142,8624,11541,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle,4080,8489,12154,12662,9788,9310,12662,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-pypy,5365,7900,8694,7726,6553,6398,8694,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-nginx-uwsgi,3548,5994,8333,9026,10421,10589,10589,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,0
bottle-mysql-raw,9108,18061,28239,31806,33283,29237,33283,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
codeigniter-raw,3660,7089,10771,11541,10847,9708,11541,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
compojure,14614,24326,26469,26594,23229,18557,26594,Mcr,Clj,Svt,Res,Lin,My,Lin,Mcr,Rea,0
cpoll_cppsp-raw,41368,75395,129626,151520,188585,105174,188585,Plt,C++,Cpl,Non,Lin,My,Lin,Raw,Rea,0
dart,9179,16132,23261,24646,26814,27579,27579,Plt,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
django,2755,5216,7248,7428,6757,6711,7428,Ful,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
django-postgresql,2908,5596,7843,8023,7248,7244,8023,Ful,Py,Gun,Non,Lin,Pg,Lin,Ful,Rea,0
django-py3,2678,5069,7033,7196,6583,6549,7196,Ful,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
express-mysql,— Did not complete —,,,,,,,Mcr,JS,njs,Non,Lin,My,Lin,Ful,Rea,—
falcore,7348,6008,5899,5936,5858,5855,7348,Mcr,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
flask,6784,13460,21169,22936,18948,17604,22936,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
flask-pypy,3940,6598,6304,5505,5024,5004,6598,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask,3955,7925,11520,11592,8316,8054,11592,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask-py3,3707,7217,10486,10478,7913,7671,10486,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask-nginx-uwsgi,3375,5642,7722,8324,9155,9187,9187,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,0
flask-pypy,4522,8468,9400,7929,7628,7153,9400,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
fuel,1306,2515,3822,3953,4075,4013,4075,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
gemini,27470,54477,97708,114834,166103,123716,166103,Ful,Jav,Svt,Res,Lin,My,Lin,Mcr,Rea,0
go,16109,16363,15197,15161,15130,15113,16363,Plt,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
grails,6500,12193,14585,14279,13886,13626,14585,Ful,Grv,Svt,Res,Lin,My,Lin,Ful,Rea,0
grizzly-jersey,12170,23075,39528,44879,41295,41145,44879,Mcr,Jav,Svt,Grz,Lin,My,Lin,Ful,Rea,0
hapi-mysql,— Did not complete —,,,,,,,Mcr,JS,njs,Non,Lin,My,Lin,Raw,Rea,—
hhvm,16057,31776,47773,52269,61610,68286,68286,Plt,PHP,hhv,HPH,Lin,My,Lin,Raw,Rea,0
http-listener,— Did not complete —,,,,,,,Plt,C#,Net,hts,Win,Pg,Lin,Raw,Rea,—
http-listener,— Did not complete —,,,,,,,Plt,C#,Net,hts,Win,Mo,Lin,Raw,Rea,—
http-listener,12500,17191,15198,14583,14009,13910,17191,Plt,C#,Net,hts,Win,My,Lin,Raw,Rea,0
php-kohana-raw,2198,4217,6503,6939,6865,6520,6939,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
lapis,10019,18632,33655,39445,62527,46287,62527,Ful,Lua,OpR,ngx,Lin,Pg,Lin,Ful,Rea,0
laravel-raw,1288,2009,2245,2227,1865,1654,2245,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,32293
luminus,11846,17329,17632,17463,17173,16595,17632,Mcr,Clj,Svt,Res,Lin,My,Lin,Ful,Rea,0
ninja-standalone,2531,2687,2959,3100,3231,3226,3231,Ful,Jav,Jty,Jty,Lin,My,Lin,Ful,Rea,0
ninja-standalone,2259,2259,2500,2570,2535,2399,2570,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
onion-raw,20625,26505,26587,19300,2900,0,26587,Plt,C,Oni,Non,Lin,My,Lin,Raw,Rea,0
phalcon,— Did not complete —,,,,,,,Ful,PHP,FPM,ngx,Lin,Mo,Lin,Ful,Rea,—
