Framework,8,16,32,64,128,256,Best,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
activeweb,15557,30980,55963,65246,92210,87190,92210,Plt,Jav,Act,Res,Lin,My,Lin,Raw,Rea,140
aspnet-stripped-raw,11339,21283,33455,37626,47066,46115,47066,Ful,C#,Net,IIS,Win,My,Lin,Raw,Str,0
aspnet-stripped-raw,4760,5658,4993,4797,2801,2330,5658,Ful,C#,Net,IIS,Win,Pg,Lin,Raw,Str,0
aspnet-stripped-raw,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,Mo,Lin,Raw,Str,—
aspnet-postgresql-en,4446,7712,10485,10719,11650,11459,11650,Ful,C#,Net,IIS,Win,Pg,Lin,Ful,Rea,0
aspnet-postgresql-ra,6750,11142,15028,15554,15437,13563,15554,Ful,C#,Net,IIS,Win,Pg,Lin,Raw,Rea,0
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,Mo,Lin,Raw,Rea,—
aspnet-mysql-entityf,5323,9664,14475,16118,16926,15668,16926,Ful,C#,Net,IIS,Win,My,Lin,Ful,Rea,0
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,Pg,Lin,Ful,Rea,—
aspnet-mvc-mono,— Did not complete —,,,,,,,Ful,C#,Mon,ngx,Lin,Pg,Lin,Raw,Rea,—
aspnet-mvc-mono,20,41,85,102,311,623,623,Ful,C#,Mon,ngx,Lin,My,Lin,Ful,Rea,0
aspnet-mongodb-raw,— Did not complete —,,,,,,,Ful,C#,Net,IIS,Win,Mo,Lin,Raw,Rea,—
aspnet-mysql-raw,8146,14839,23303,26076,30048,27578,30048,Ful,C#,Net,IIS,Win,My,Lin,Raw,Rea,0
aspnet-mvc-mono,1319,2539,3435,3739,3957,3830,3957,Ful,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,0
bottle-pypy,4670,7808,8750,8178,6966,6777,8750,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-py3,5159,10383,15485,16212,11181,10404,16212,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-nginx-uwsgi,4726,7533,9915,10953,14176,15497,15497,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,0
bottle-mysql-raw,14011,27399,45172,51080,62357,54961,62357,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
bottle,5848,10997,18370,19329,12771,11873,19329,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
cake,— Did not complete —,,,,,,,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,—
codeigniter-raw,3854,7500,11451,12143,11807,10759,12143,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
compojure,17048,32693,43020,43548,34420,26048,43548,Mcr,Clj,Svt,Res,Lin,My,Lin,Mcr,Rea,0
compojure-raw,23260,45350,51231,49809,37986,30615,51231,Mcr,Clj,Svt,Res,Lin,My,Lin,Raw,Rea,0
cowboy,11055,20482,24608,23914,20218,18888,24608,Plt,Erl,Cow,Non,Lin,My,Lin,Raw,Rea,0
cpoll_cppsp-raw,47280,87603,146260,172546,197309,81672,197309,Plt,C++,Cpl,Non,Lin,My,Lin,Raw,Rea,0
cpoll_cppsp-postgres,45358,84579,131306,144111,147386,141022,147386,Plt,C++,Cpl,Non,Lin,Pg,Lin,Raw,Rea,0
cpoll_cppsp-postgres,45614,81787,138392,151122,146140,140307,151122,Plt,C++,Cpl,Non,Lin,Pg,Lin,Raw,Rea,0
dancer-raw,— Did not complete —,,,,,,,Ful,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea,—
dart,11659,21629,33730,36464,41124,43599,43599,Plt,Dar,Dar,ngx,Lin,Pg,Lin,Raw,Rea,0
django,5302,9246,10685,9759,9792,9824,10685,Ful,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
django-py3,4804,8561,10583,9693,9610,9619,10583,Ful,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
django-postgresql,5432,10026,10570,9594,9556,9566,10570,Ful,Py,Gun,Non,Lin,Pg,Lin,Ful,Rea,0
dropwizard,14532,27456,49312,57807,83333,75963,83333,Ful,Jav,Jty,Jty,Lin,My,Lin,Ful,Rea,0
elli,12687,21222,28401,28647,25893,24224,28647,Plt,Erl,eli,Non,Lin,My,Lin,Raw,Rea,0
express-mongodb,8220,17451,26920,29377,31455,32835,32835,Mcr,JS,njs,Non,Lin,Mo,Lin,Ful,Rea,0
express-mysql,15436,30551,49520,56014,75241,76783,76783,Mcr,JS,njs,Non,Lin,My,Lin,Ful,Rea,0
falcore,36832,65313,75077,75261,74898,75089,75261,Mcr,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
flask-py3,4840,9372,13539,13348,9200,8786,13539,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask-pypy,3199,5836,5953,6160,5074,5033,6160,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask-pypy,6709,11909,16378,14539,10802,10579,16378,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
flask,5179,10291,14985,15158,9864,9327,15158,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
flask,9374,17337,29813,33353,30203,26271,33353,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
flask-nginx-uwsgi,4039,6600,8949,9694,11064,11168,11168,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,0
fuel,1768,3383,5255,5513,5511,5388,5513,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
gemini,36764,67514,121912,143240,224112,199550,224112,Ful,Jav,Svt,Res,Lin,My,Lin,Mcr,Rea,0
go,38438,67539,77651,77447,77653,77533,77653,Plt,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
grails,10146,19652,34019,38464,47351,45724,47351,Ful,Grv,Svt,Res,Lin,My,Lin,Ful,Rea,0
grizzly-jersey,14059,27314,47114,54150,44632,44566,54150,Mcr,Jav,Svt,Grz,Lin,My,Lin,Ful,Rea,0
hapi-mysql,9360,17890,27658,30588,33108,33043,33108,Mcr,JS,njs,Non,Lin,My,Lin,Raw,Rea,0
hapi,6516,13113,18370,19395,19652,20853,20853,Mcr,JS,njs,Non,Lin,Mo,Lin,Raw,Rea,0
hhvm,17284,33149,49169,53395,61566,70471,70471,Plt,PHP,hhv,HPH,Lin,My,Lin,Raw,Rea,0
http-kit,26381,53819,80900,82195,84149,84109,84149,Plt,Clj,htk,Non,Lin,My,Lin,Raw,Rea,0
http-listener,4681,3643,3132,2983,1694,1302,4681,Plt,C#,Net,hts,Win,Pg,Lin,Raw,Rea,0
http-listener,12933,18325,17276,16616,16084,16892,18325,Plt,C#,Net,hts,Win,My,Lin,Raw,Rea,0
http-listener,— Did not complete —,,,,,,,Plt,C#,Net,hts,Win,Mo,Lin,Raw,Rea,—
kelp-raw,— Did not complete —,,,,,,,Ful,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea,—
php-kohana-raw,2443,4702,7272,7769,7636,7153,7769,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
lapis,17443,33018,60439,72013,116501,80121,116501,Ful,Lua,OpR,ngx,Lin,Pg,Lin,Ful,Rea,0
laravel-raw,— Did not complete —,,,,,,,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
lift-stateless,2776,4624,4809,4795,4617,4671,4809,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,8
lithium,1623,3105,4062,3663,2845,2872,4062,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
luminus,16173,27314,32541,33326,27530,20832,33326,Mcr,Clj,Svt,Res,Lin,My,Lin,Ful,Rea,0
luminus-raw,22209,41047,55449,51820,36298,28147,55449,Mcr,Clj,Svt,Res,Lin,My,Lin,Raw,Rea,0
micromvc,5473,10463,15960,16450,16905,17450,17450,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
mojolicious-raw,— Did not complete —,,,,,,,Ful,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea,—
nancy,0,0,0,0,0,0,0,Mcr,C#,Net,IIS,Win,My,Lin,Raw,Rea,76140
nancy,0,0,0,0,0,0,0,Mcr,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,14041
nancy-libevent2,0,0,0,0,0,0,0,Mcr,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,49876
ninja-standalone,20894,31593,32596,32768,31758,30783,32768,Ful,Jav,Jty,Jty,Lin,My,Lin,Ful,Rea,0
ninja-standalone,21811,32041,31568,32997,31655,31621,32997,Ful,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
nodejs-mongodb-raw,14315,33258,54139,60500,83671,83958,83958,Plt,JS,njs,Non,Lin,Mo,Lin,Raw,Rea,0
nodejs-mysql,17121,31922,55473,57774,85878,88597,88597,Plt,JS,njs,Non,Lin,My,Lin,Ful,Rea,0
nodejs-mysql-raw,14667,24284,40024,46467,67314,71594,71594,Plt,JS,njs,Non,Lin,My,Lin,Raw,Rea,0
nodejs-mongodb,9171,19033,28624,31134,38266,38741,38741,Plt,JS,njs,Non,Lin,Mo,Lin,Ful,Rea,0
onion-raw,42110,54431,57713,58368,58188,57992,58368,Plt,C,Oni,Non,Lin,My,Lin,Raw,Rea,0
openresty,32828,59255,102559,121310,194878,90096,194878,Plt,Lua,OpR,ngx,Lin,My,Lin,Raw,Rea,0
php-phalcon,5739,10971,16233,17375,17065,17575,17575,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
php-phalcon-micro,13545,26523,45742,51525,68632,67999,68632,Mcr,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
phalcon,— Did not complete —,,,,,,,Ful,PHP,FPM,ngx,Lin,Mo,Lin,Ful,Rea,—
php-raw,20070,38883,67601,77671,117597,128311,128311,Plt,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
php,— Did not complete —,,,,,,,Plt,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,—
phpixie,4288,8244,12565,13620,15506,15078,15506,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,0
phreeze,89,150,235,308,1747,6480,6480,Mcr,PHP,FPM,ngx,Lin,My,Lin,Mcr,Rea,0
plack,— Did not complete —,,,,,,,Mcr,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea,—
plain-windows,27394,48042,81060,92028,97650,83455,97650,Ful,Sca,Pla,Non,Win,My,Lin,Ful,Rea,0
plain-servlet-linux,28122,50329,87240,100782,119135,118660,119135,Ful,Sca,Pla,Non,Lin,My,Lin,Ful,Rea,0
plain,28014,52849,89613,103601,122053,121636,122053,Ful,Sca,Pla,Non,Lin,My,Lin,Mcr,Rea,0
play1-siena,16091,16612,16620,16441,16490,16532,16620,Ful,Jav,Nty,Non,Lin,My,Lin,Ful,Rea,0
play1,10403,17500,17275,17193,17113,17085,17500,Ful,Jav,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-scala-anorm,13809,24859,27855,28515,30389,30702,30702,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-java-ebean,15876,31423,46806,52162,69397,70722,70722,Ful,Jav,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-activate-mysql,19337,38958,44346,44352,44200,45463,45463,Ful,Sca,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-java-jpa,11751,22419,37829,42600,61405,61833,61833,Ful,Jav,Nty,Non,Lin,My,Lin,Ful,Rea,0
play-slick,12623,24134,42488,49419,73981,80685,80685,Ful,Sca,Nty,Non,Lin,My,Lin,Raw,Rea,0
play-scala-anorm,9335,16455,18476,16996,16308,14253,18476,Ful,Sca,Nty,Non,Win,My,Lin,Ful,Rea,0
play-scala-mongodb,— Did not complete —,,,,,,,Ful,Sca,Nty,Non,Lin,Mo,Lin,Raw,Rea,—
pyramid-py3,3064,5752,8281,8391,10331,10409,10409,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,10
pyramid-py2,3480,6506,9011,9328,11103,11625,11625,Ful,Py,Wsg,Gun,Lin,Pg,Lin,Ful,Rea,13
racket-ws,— Did not complete —,,,,,,,Ful,Rac,Rac,Non,Lin,My,Lin,Mcr,Rea,—
rails-stripped-ruby,4532,4944,4900,4893,4863,4853,4944,Ful,Rby,Rac,Uni,Lin,My,Lin,Ful,Str,0
rails-stripped-jruby,3496,3612,3104,2906,2213,1270,3612,Ful,Rby,JRb,Tor,Lin,My,Lin,Ful,Str,0
rails-ruby,3752,4032,3996,3974,3973,3960,4032,Ful,Rby,Rac,Uni,Lin,My,Lin,Ful,Rea,0
rails-jruby,3353,3371,2818,2650,2044,1219,3371,Ful,Rby,JRb,Tor,Lin,My,Lin,Ful,Rea,0
restexpress-mongodb,25866,45026,51513,62225,78184,69179,78184,Mcr,Jav,Nty,Non,Lin,Mo,Lin,Raw,Rea,0
restexpress-mysql-ra,1667,2333,2287,1713,1666,1666,2333,Mcr,Jav,Nty,Non,Lin,My,Lin,Raw,Rea,4901
revel,35719,63860,73609,73218,73345,73579,73609,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
revel-qbs,33164,57228,69851,69567,69783,70525,70525,Ful,Go,Go,Non,Lin,My,Lin,Raw,Rea,0
ringojs-conv,11676,25006,41068,41922,46340,46209,46340,Mcr,JS,Rin,Jty,Lin,My,Lin,Mcr,Rea,0
ringojs,18274,37366,58305,57427,76673,79844,79844,Plt,JS,Rin,Jty,Lin,My,Lin,Raw,Rea,0
scalatra-raw,21402,44132,78015,86238,101561,96009,101561,Mcr,Sca,Svt,Res,Lin,My,Lin,Raw,Rea,0
senthot,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,XSP,Lin,Pg,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,ngx,Lin,Mo,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,ngx,Lin,Pg,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,XSP,Lin,Mo,Lin,Raw,Rea,—
servicestack,— Did not complete —,,,,,,,Plt,C#,Mon,XSP,Lin,My,Lin,Raw,Rea,—
servicestack,1345,2421,3280,3350,3503,3384,3503,Plt,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,0
servlet-postgres-raw,26902,50257,81285,88262,93375,89798,93375,Plt,Jav,Svt,Res,Lin,Pg,Lin,Raw,Rea,0
servlet-raw,31757,64231,116271,136615,184818,174974,184818,Plt,Jav,Svt,Res,Lin,My,Lin,Raw,Rea,0
silex,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
silex-orm,934,1382,1571,1528,1348,1185,1571,Mcr,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea,16362
silex,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
silica,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
sinatra-jruby,5194,5359,4569,4354,3192,2472,5359,Mcr,Rby,JRb,Tor,Lin,My,Lin,Ful,Rea,0
sinatra-ruby,781,1003,993,996,985,994,1003,Mcr,Rby,Rac,Uni,Lin,My,Lin,Ful,Rea,0
slim,— Did not complete —,,,,,,,Mcr,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,—
snap,12452,6631,8980,7424,8605,7850,12452,Mcr,Hkl,Snp,Non,Lin,My,Lin,Ful,Rea,0
spark,14962,28121,48986,55938,25837,22444,55938,Mcr,Jav,Svt,Res,Lin,My,Lin,Ful,Rea,0
spring,11595,18730,18912,18913,18880,18950,18950,Ful,Jav,Svt,Tom,Lin,My,Lin,Ful,Rea,0
