Framework,1,5,10,15,20,Cls,Lng,Plt,FE,Aos,DB,Dos,Orm,IA,Errors
activeweb,11004,10044,8849,7415,5926,Plt,Jav,Act,Res,Lin,My,Lin,Raw,Rea,0
aspnet-stripped-raw,46032,27959,18960,14096,10720,Ful,C#,Net,IIS,Win,My,Lin,Raw,Str,0
aspnet-stripped-raw,2145,2827,4233,4309,3915,Ful,C#,Net,IIS,Win,Pg,Lin,Raw,Str,0
aspnet-stripped-raw,— Did not complete —,,,,,,Ful,C#,Net,IIS,Win,Mo,Lin,Raw,Str
aspnet-postgresql-en,10154,4590,2878,2031,1512,Ful,C#,Net,IIS,Win,Pg,Lin,Ful,Rea,0
aspnet-postgresql-ra,12515,10877,7537,5238,4235,Ful,C#,Net,IIS,Win,Pg,Lin,Raw,Rea,0
aspnet-mvc-mono,— Did not complete —,,,,,,Ful,C#,Mon,ngx,Lin,Mo,Lin,Raw,Rea
aspnet-mysql-entityf,13867,5061,2399,1385,1076,Ful,C#,Net,IIS,Win,My,Lin,Ful,Rea,0
aspnet-mvc-mono,— Did not complete —,,,,,,Ful,C#,Mon,ngx,Lin,Pg,Lin,Ful,Rea
aspnet-mvc-mono,— Did not complete —,,,,,,Ful,C#,Mon,ngx,Lin,Pg,Lin,Raw,Rea
aspnet-mvc-mono,620,623,623,625,523,Ful,C#,Mon,ngx,Lin,My,Lin,Ful,Rea,0
aspnet-mongodb-raw,— Did not complete —,,,,,,Ful,C#,Net,IIS,Win,Mo,Lin,Raw,Rea
aspnet-mysql-raw,22365,18293,14486,11756,9861,Ful,C#,Net,IIS,Win,My,Lin,Raw,Rea,0
aspnet-mvc-mono,3686,3300,3073,2719,2452,Ful,C#,Mon,ngx,Lin,My,Lin,Raw,Rea,0
bottle-pypy,7232,2103,1259,909,738,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-py3,10212,3516,1941,1334,1017,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
bottle-nginx-uwsgi,14412,5246,2894,1915,1415,Mcr,Py,uWS,ngx,Lin,My,Lin,Ful,Rea,0
bottle-mysql-raw,50524,25013,15692,11438,9000,Mcr,Py,Gun,Non,Lin,My,Lin,Raw,Rea,0
bottle,11455,4063,2262,1571,1196,Mcr,Py,Gun,Non,Lin,My,Lin,Ful,Rea,0
cake,— Did not complete —,,,,,,Ful,PHP,FPM,ngx,Lin,My,Lin,Ful,Rea
codeigniter-raw,10624,9576,8688,7920,7190,Ful,PHP,FPM,ngx,Lin,My,Lin,Raw,Rea,0
compojure,24951,5808,2793,1981,1429,Mcr,Clj,Svt,Res,Lin,My,Lin,Mcr,Rea,0
compojure-raw,29811,5589,2682,1780,1358,Mcr,Clj,Svt,Res,Lin,My,Lin,Raw,Rea,0
cowboy,18895,3874,1940,1298,978,Plt,Erl,Cow,Non,Lin,My,Lin,Raw,Rea,0
cpoll_cppsp-raw,83431,16310,8167,5408,4072,Plt,C++,Cpl,Non,Lin,My,Lin,Raw,Rea,0
cpoll_cppsp-postgres,138833,27609,14441,9247,7189,Plt,C++,Cpl,Non,Lin,Pg,Lin,Raw,Rea,4515
cpoll_cppsp-postgres,119079,15169,6714,4342,2327,Plt,C++,Cpl,Non,Lin,Pg,Lin,Raw,Rea,0
dancer-raw,— Did not complete —,,,,,,Ful,Prl,Plk,Sta,Lin,My,Lin,Raw,Rea
